Hour,Temperature,load
11,69.1,753.469
12,72.1,766.688
13,74.1,793.521
14,75.8,794.261
15,76.9,796.939
16,78.5,834.73
17,76,914.77
18,74.9,1035.533
19,74.4,1112.955
20,70.4,1126.95
21,68.6,1104.202
22,68.5,1018.408
23,67.6,945.305
24,64.1,876.922
1,65.6,839.309
2,64.8,809.09
3,64,783.947
4,63.8,775.083
5,63.6,782.352
6,63,837.049
7,62.5,893.526
8,63.3,959.641
9,63.7,990.537
10,68.5,972.483
11,68.2,981.807
12,72.4,996.847
13,72.9,960.646
14,74.4,953.067
15,76.5,1009.45
16,76.8,1019.964
17,75.2,1051.543
18,67.1,1078.877
19,67.5,1087.818
20,63,1088.1
21,62.4,1046.581
22,61.3,989.263
23,61.4,914.375
24,66.6,849.662
1,59.9,801.733
2,59.6,776.932
3,58.5,758.147
4,57.2,750.978
5,56.2,752.195
6,55.5,773.403
7,54.7,809.81
8,55,849.532
9,57.6,846.332
10,61.5,800.682
11,65.1,754.884
12,68.1,768.165
13,70.4,787.94
14,72.7,752.289
15,73.9,795.964
16,74,857.587
17,74.1,935.739
18,74.1,995.89
19,73.1,1029.911
20,70.6,1041.428
21,68.4,1019.89
22,67.5,958.972
23,65.4,890.326
24,60.7,823.433
1,62.5,789.622
2,61.2,760.447
3,59.9,748.514
4,58.9,729.379
5,57.9,734.444
6,57,757.697
7,56.4,788.972
8,56.8,784.447
9,59.5,757.179
10,62.9,719.354
11,66.8,683.644
12,70.2,681.998
13,72.7,699.498
14,74.4,705.664
15,74.9,742.868
16,74.9,802.918
17,74.5,897.872
18,73.1,1025.133
19,71.6,1084.722
20,69.7,1080.931
21,67.8,1048.417
22,65.9,982.859
23,63.9,912.906
24,63.6,850.447
1,57,886.589
2,56.4,868.423
3,55.6,858.183
4,54.9,851.791
5,50.6,884.407
6,47.6,959.624
7,44.7,1078.362
8,41.3,1120.93
9,40.5,1093.06
10,43.5,966.667
11,44.8,895.57
12,46.4,829.874
13,47.7,778.012
14,48.8,751.388
15,49.8,740.883
16,50.4,755.015
17,50,849.79
18,48.8,1013.357
19,47.2,1158.553
20,44.2,1200.965
21,41.7,1185.951
22,41.6,1121.252
23,39.4,1051.754
24,57.1,991.545
1,34.9,963.94
2,33.2,947.11
3,31.8,945.761
4,31,953.046
5,30.3,992.81
6,29.6,1070.501
7,28.8,1181.359
8,29,1184.844
9,30.6,1073.513
10,34.1,947.705
11,36.2,859.347
12,37.9,817.161
13,38.7,779.391
14,37.9,765.997
15,37.6,763.025
16,37.4,841.39
17,37.6,996.271
18,37.7,1149.757
19,36.6,1219.425
20,35.7,1224.42
21,35.6,1185.594
22,37.1,1120.906
23,37.2,1033.832
24,37,962.4
1,36.1,931.927
2,36,911.341
3,36.6,906.567
4,36.9,905.23
5,37.2,933.723
6,37.8,1003.99
7,38.9,1115.165
8,40.9,1203.127
9,44,1236.411
10,43.8,1255.089
11,47,1262.78
12,49.9,1241.973
13,55.3,1201.538
14,60.5,1151.05
15,66.1,1116.158
16,67.4,1129.872
17,64.6,1151.985
18,65.2,1180.701
19,63.2,1200.384
20,63.6,1196.814
21,63.7,1147.57
22,62.7,1079.753
23,63,993.989
24,36.6,924.25
1,61.7,887.529
2,60.8,859.256
3,60.8,845.143
4,61,841.775
5,60.2,860.559
6,58.9,940.948
7,57.6,1047.537
8,56.5,1072.399
9,56.2,1048.814
10,59.9,974.115
11,61.5,798.65
12,63,764.485
13,64.3,731.577
14,65.4,714.703
15,65.7,696.677
16,65.1,709.969
17,64.5,800.353
18,63.3,937.943
19,61.1,1048.612
20,56.9,1075.834
21,53.5,1044.124
22,54.4,995.59
23,52.3,935.728
24,62.5,884.912
1,47.7,859.244
2,45.6,829.396
3,43.5,820.317
4,42.2,822.692
5,41.3,838.594
6,42.5,870.796
7,43.3,928.117
8,42.4,968.526
9,41.5,996.056
10,43.2,971.628
11,43.2,948.043
12,43.1,983.929
13,44,988.01
14,43.7,995.179
15,42.3,1029.235
16,42,1058.011
17,42.5,1109.317
18,42,1139.05
19,41.4,1160.411
20,40.6,1142.806
21,40.4,1103.832
22,39.6,1043.169
23,39.6,979.676
24,50.1,917.09
1,40.2,885.168
2,40.8,846.916
3,41.2,835.237
4,41.3,827.289
5,41.2,833.371
6,41.4,857.362
7,41.9,901.995
8,42.9,970.346
9,43.7,1018.236
10,41.2,1058.225
11,42.5,1067.13
12,44.7,1064.089
13,47.7,1028.33
14,49,974.519
15,50.4,917.353
16,55.2,924.597
17,55.9,959.161
18,55.5,1007.161
19,56.4,1087.61
20,53.2,1120.263
21,51.3,1084.403
22,50.3,1012.735
23,48.2,931.244
24,39.6,864.657
1,46.6,836.943
2,44.8,812.86
3,44.1,813.849
4,43.2,821.456
5,42.6,861.943
6,41.9,941.33
7,40.8,1063.106
8,39.7,1099.439
9,37,1106.428
10,36.7,1056.801
11,37.3,1000.677
12,37.9,950.699
13,38.9,952.655
14,38.7,971.09
15,38.5,1001.249
16,38.1,1023.723
17,37.4,1090.557
18,36,1154.448
19,35.7,1181.856
20,35.7,1188.258
21,36.5,1150.26
22,37.8,1070.783
23,37.5,991.951
24,46.5,939.134
1,37.7,909.568
2,37.6,877.928
3,37.5,865.449
4,37.2,863.711
5,37,892.421
6,37,974.895
7,36.9,1085.121
8,37.3,1121.115
9,38.2,1124.87
10,39.4,1132.643
11,40.5,1088.798
12,41.5,1029.045
13,40.3,1040.258
14,41,1056.191
15,40.7,1080.825
16,43.9,1090.906
17,41.7,1126.644
18,39,1196.283
19,36.2,1229.341
20,34.1,1234.32
21,32.2,1198.122
22,31.5,1130.653
23,30.1,1053.916
24,37.6,1000.874
1,28.1,974.972
2,27.4,949.407
3,27.6,937.488
4,27.9,938.435
5,28,968.467
6,27.8,1045.508
7,27.3,1164.064
8,27.6,1198.521
9,29.3,1173.97
10,32.2,1105.806
11,34.3,989.429
12,36.7,875.79
13,39.1,798.779
14,41.6,766.893
15,43.5,745.6
16,45,777.861
17,45.9,854.082
18,45.7,1025.587
19,44.2,1134.992
20,41.7,1185.596
21,39.3,1173.507
22,38.7,1109.84
23,36.9,1024.324
24,29,969.693
1,33.1,927.961
2,32.1,921.204
3,31.5,922.777
4,30.8,930.569
5,30.3,975.504
6,29.2,1059.759
7,28.9,1168.876
8,30.9,1121.178
9,34.5,979.068
10,37.9,853.822
11,40.1,794.1
12,41.5,765.278
13,43.2,750.476
14,44.8,736.067
15,45.4,729.979
16,44.3,757.981
17,42.4,831.379
18,43.2,991.258
19,43.9,1115.914
20,43.6,1162.361
21,42.3,1131.256
22,41.4,1063.142
23,40.5,992.034
24,35.3,923.134
1,39.6,882.052
2,38.4,858.739
3,37.5,850.253
4,35.9,844.656
5,34.8,878.215
6,34.3,946.416
7,34,1068.949
8,34.2,1137.889
9,35.2,1152.057
10,37.1,1112.871
11,38.7,1063.379
12,39.6,1051.598
13,40.8,1063.03
14,42.3,1023.095
15,43.1,1022.38
16,42.3,1038.018
17,41.9,1074.945
18,41.8,1099.33
19,40.6,1123.779
20,40.1,1121.851
21,39.8,1086.094
22,40.3,1027.994
23,40,957.964
24,40.4,894.297
1,39.3,879.359
2,38.4,838.055
3,36.9,832.882
4,35.5,824.154
5,35.1,836.804
6,34.4,868.848
7,34.2,939.989
8,34.1,1018.124
9,34.1,1093.539
10,34.9,1121.866
11,35.9,1129.939
12,36.8,1128.254
13,37.6,1125.249
14,37.9,1087.8
15,37.8,1081.311
16,38,1098.311
17,37.9,1127.963
18,37.8,1149.257
19,37.5,1146.137
20,37.5,1142.71
21,37.4,1106.378
22,38.3,1039.003
23,38.7,979.181
24,39.8,919.987
1,38.6,881.437
2,38.5,854.999
3,38.1,842.351
4,37.9,837.645
5,37.7,854.912
6,37.3,880.648
7,36.8,936.595
8,36.7,984.716
9,36.9,1048.658
10,38.1,1091.153
11,38.7,1089.825
12,39.4,1094.679
13,41.8,1081.601
14,43.1,1056.986
15,43,1058.079
16,43.2,1078.923
17,42.7,1124.899
18,43.1,1170.506
19,42.8,1182.24
20,42.6,1184.582
21,41.9,1147.754
22,42.5,1063.816
23,41.4,981.309
24,38.5,905.703
1,40.4,859.145
2,39.9,837.283
3,39.6,828.268
4,38.8,830.599
5,38.5,873.783
6,37.9,953.782
7,37.7,1069.452
8,39,1045.207
9,43.3,949.047
10,49.5,879.881
11,53.7,839.944
12,56.6,785.216
13,59.1,736.58
14,61.6,716.231
15,63.7,690.709
16,65.4,684.693
17,66.4,778.944
18,65.7,936.076
19,63.2,1028.015
20,58.9,1078.397
21,55.6,1064.932
22,53.6,988.584
23,52.5,907.264
24,40.5,839.504
1,50.6,813.589
2,50.8,792.833
3,49.8,793.379
4,49.7,784.942
5,49.1,821.484
6,47.8,898.474
7,46.5,1021.435
8,46,1071.539
9,49.1,1067.872
10,52.1,1030.823
11,56.2,969.013
12,60,860.17
13,60.7,742.769
14,65.1,768.228
15,64,873.81
16,60.3,966.44
17,61.8,1048.47
18,64.5,1138.45
19,56.8,1158.386
20,56.2,1134.092
21,54.8,1081.355
22,50.9,995.301
23,49,907.565
24,51.3,843.753
1,46.7,821.774
2,44.6,796.309
3,43.2,786.121
4,41.5,796.1
5,40.2,833.334
6,39.2,925.925
7,38.7,1015.667
8,39.2,999.505
9,41.3,906.691
10,42.3,860.646
11,43.4,881.316
12,46,866.135
13,48.1,838.305
14,49.4,845.14
15,48.8,893.929
16,49.5,879.916
17,49.5,927.572
18,49.6,1029.382
19,47.7,1119.11
20,45,1145.051
21,42.3,1118.484
22,41.5,1049.027
23,39.9,965.215
24,48.2,900.117
1,38.9,857.243
2,38.7,853.179
3,38.4,853.562
4,38.1,858.383
5,37.8,890.634
6,37.5,969.522
7,37.1,1067.196
8,38,1038.398
9,40.6,901.721
10,46.8,803.757
11,48.9,755.141
12,51.3,719.054
13,53.7,697.594
14,55.2,691.703
15,56.4,670.504
16,56.3,679.754
17,56.1,766.487
18,56.2,900.016
19,54.9,1039.017
20,52.2,1090.802
21,48.1,1091.511
22,47.6,1030.711
23,45.8,954.227
24,39.3,888.42
1,41.9,860.686
2,40.8,844.44
3,39.3,851.599
4,37.9,851.484
5,36.4,894.959
6,35.7,951.67
7,35.2,1039.822
8,36.9,996.769
9,42,872.248
10,48.4,762.347
11,53.6,698.555
12,56.6,659.285
13,59.4,640.455
14,61,626.326
15,62.3,656.687
16,64,773.177
17,63.2,918.127
18,60.4,1024.407
19,56.9,1055.848
20,55,1039.971
21,53.3,1020.87
22,54,954.843
23,53.2,888.39
24,43.5,823.315
1,54.7,799.923
2,55.5,763.539
3,55.8,747.789
4,55.8,747.979
5,55.8,769.483
6,55.8,790.749
7,56.7,852.081
8,57.6,893.282
9,60.2,927.571
10,63.8,925.178
11,67.8,857.044
12,71.2,788.339
13,74.3,778.904
14,75.5,799.622
15,78.5,817.016
16,80.6,819.796
17,81,848.293
18,80.2,899.46
19,77.4,975.441
20,74.7,994.542
21,72.7,987.554
22,68.9,926.586
23,67.7,859.657
24,54.4,807.113
1,66.5,752.76
2,65.7,723.737
3,64.7,706.983
4,62.9,704.501
5,60.4,704.077
6,58,741.979
7,54.9,769.466
8,53.1,781.468
9,52.2,761.84
10,55.6,704.834
11,56.2,647.644
12,56.7,610.623
13,57,596.275
14,57.6,568.646
15,58.4,556.974
16,58.3,582.932
17,58.1,670.272
18,57.5,814.88
19,56.4,939.323
20,54.1,995.528
21,51.5,1002.22
22,51.6,932.756
23,49.3,867.273
24,67.2,819.345
1,45,793.213
2,43.2,782.372
3,41.4,777.579
4,40.3,791.759
5,39.2,820.311
6,38.5,895.537
7,37.4,956.633
8,39.3,925.034
9,42.5,829.841
10,47.6,748.472
11,50,703.407
12,51.8,672.1
13,53.2,646.415
14,53.6,620.678
15,54,631.931
16,54.5,691.506
17,56.1,838.411
18,55,984.075
19,50.9,1054.776
20,48.7,1076.031
21,47.7,1048.987
22,47.7,978.758
23,47.1,886.952
24,47.1,828.676
1,46.8,794.338
2,48.3,773.448
3,47.3,762.771
4,48.2,763.997
5,48.7,797.545
6,50.3,870.28
7,51.3,958.224
8,52.8,1027.284
9,55.8,1067.28
10,54,1071.57
11,56.7,1065.566
12,59.7,1004.02
13,63.3,931.317
14,65.7,877.594
15,67.9,856.522
16,70.1,833.112
17,69.2,886.341
18,68.8,976.738
19,67.5,1047.313
20,65,1075.443
21,64.5,1053.591
22,52.5,981.889
23,54.9,909.57
24,46.9,842.104
1,55.1,809.561
2,53.4,775.495
3,51.7,761.55
4,50.7,758.412
5,49.3,788.999
6,48.1,848.2
7,46.8,924.195
8,47.3,920.161
9,49.8,799.769
10,54.9,720.6
11,57.2,677.092
12,59.2,655.519
13,61.3,639.989
14,63.6,639.922
15,65.7,630.73
16,67.4,637.47
17,68.1,743.365
18,68,871.483
19,66.6,983.988
20,63.1,1029.53
21,59.1,1025.877
22,57.5,953.543
23,55.8,887.836
24,56.7,823.055
1,53.8,783.646
2,52,771.442
3,50.3,764.325
4,48.8,771.692
5,47.2,803.221
6,45,876.294
7,44.5,941.988
8,47,917.281
9,50.4,822.522
10,54.1,725.635
11,57,679.807
12,59.9,653.45
13,61.6,634.593
14,63,634.266
15,64.7,650.013
16,65.8,653.695
17,65.3,768.275
18,65.2,906.29
19,65.6,996.746
20,63,1040.039
21,58.9,1016.377
22,59.4,954.033
23,59.4,876.996
24,55.2,807.857
1,56.7,763.257
2,55.2,734.866
3,54.7,719.735
4,54.6,718.508
5,54.8,740.578
6,54.5,796.771
7,55.8,876.59
8,57,891.781
9,59.9,810.521
10,62.2,755.869
11,63.6,701.554
12,67.8,678.129
13,69.3,693.832
14,69.5,687.621
15,68.2,746.48
16,64.5,832.698
17,60.8,909.177
18,60.2,948.184
19,60.2,970.928
20,62.1,970.808
21,64,945.106
22,63.1,899.168
23,62.3,848.438
24,58,789.608
1,60.4,745.003
2,58,733.071
3,57.3,724.271
4,56.6,723.265
5,56.5,727.902
6,56.8,760.632
7,56.9,807.713
8,56.8,875.133
9,57.6,954.534
10,59.3,1017.144
11,60.2,1035.992
12,60.5,1034.167
13,60.3,1021.068
14,61,1005.512
15,62.1,992.085
16,61.5,994.552
17,61.6,1018.955
18,61,1048.962
19,60.6,1032.5
20,60.8,1020.9
21,60,990.116
22,62,933.45
23,61.1,860.178
24,61.3,805.055
1,51.3,764.312
2,50,744.371
3,48.4,728.584
4,46.8,727.148
5,45.2,733.811
6,44.5,765.316
7,44.1,801.612
8,45.2,857.106
9,47.1,907.634
10,48.8,943.676
11,48.3,937.335
12,49.9,949.342
13,51.1,968.046
14,53.7,964.922
15,53.1,968.302
16,52.5,1001.458
17,52,1044.252
18,50.4,1103.475
19,49,1120.757
20,47.3,1126.97
21,46.6,1073.306
22,47.4,998.555
23,47.4,919.321
24,54.2,831.664
1,50.4,798.331
2,49.9,780.203
3,47.9,769.29
4,46.1,795.494
5,45.5,835.015
6,46.8,895.913
7,47.8,968.289
8,50.1,921.163
9,53.7,806.796
10,58.7,719.897
11,62.7,682.466
12,66,656.811
13,68,645.517
14,69,637.306
15,69.7,632.389
16,70.3,654.265
17,70.5,750.279
18,70.3,871.562
19,69.3,983.965
20,65.1,1026.828
21,61.5,1014.842
22,60.3,954.036
23,57.6,864.151
24,49.3,798.158
1,54.8,755.583
2,53.9,740.505
3,53.1,727.209
4,52.6,731.27
5,51.8,765.439
6,51.3,840.748
7,50.8,919.383
8,52.5,898.252
9,56.6,803.409
10,62.3,710.192
11,66.5,669.995
12,70,663.746
13,72.6,650.052
14,73.9,641.807
15,74.5,647.489
16,74.1,706.672
17,72.9,791.01
18,70.6,916.438
19,67.9,1007.224
20,65,1037.799
21,62.2,1040.981
22,62.6,956.337
23,62.1,874.747
24,55.8,814.964
1,63,770.188
2,63.9,745.337
3,63.2,731.198
4,63.8,730.923
5,64,763.205
6,64.5,832.093
7,62.6,910.669
8,58.2,891.784
9,57.4,781.034
10,63.7,700.958
11,63.9,672.309
12,65.2,656.602
13,66.2,660.697
14,66.7,638.323
15,67.4,639.36
16,67.1,661.95
17,66.2,748.487
18,65.3,879.499
19,63.5,998.513
20,60.4,1033.499
21,56.9,1037.304
22,57.6,966.826
23,55,884.956
24,62.2,821.553
